,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
387,Wes Burns,epl,0.00,0.10,0.00,0.05,0.05,0.16,3.69,0.78,6.32,0.68,0.10,0.00,0.07,0.12,0.97,0.00,0.68,1.56,0.10,0.10,15.55,1.75
388,Julio Enciso,epl,0.08,0.25,0.08,0.24,0.24,0.18,3.16,4.40,4.65,4.24,1.66,0.02,0.06,0.16,1.58,0.25,0.25,3.57,0.25,1.66,24.18,3.32
389,Jean Philippe Mateta,epl,0.64,0.10,0.58,0.49,0.43,0.11,1.29,1.58,4.37,2.22,1.03,0.26,0.20,0.07,1.00,0.23,0.06,2.03,0.32,1.03,11.77,3.31
390,Jesper Lindstrom,epl,0.00,0.07,0.00,0.15,0.15,0.14,2.18,1.84,5.91,1.97,0.68,0.00,0.07,0.14,1.50,0.07,0.48,3.40,0.07,0.68,22.57,2.79
391,Nathan Broadhead,epl,0.15,0.00,0.15,0.22,0.22,0.09,2.53,1.79,4.02,1.49,0.89,0.10,0.15,0.16,0.89,0.45,0.00,2.83,0.30,0.89,16.21,2.83
392,Cody Gakpo,epl,0.52,0.20,0.48,0.45,0.42,0.23,2.86,3.22,12.45,3.02,1.19,0.16,0.14,0.21,1.79,0.08,0.36,4.14,0.44,1.19,26.73,5.57
393,Hwang Hee chan,epl,0.34,0.00,0.34,0.17,0.17,0.02,1.78,1.53,5.42,1.10,0.68,0.31,0.15,0.06,0.34,0.17,0.17,1.27,0.08,0.68,14.75,3.81
394,Harvey Elliott,epl,0.51,0.51,0.51,0.27,0.27,0.23,2.67,9.39,8.12,3.30,1.27,0.15,0.08,0.25,2.41,0.38,0.38,5.84,1.02,1.27,36.18,4.82
395,Mykhailo Mudryk,epl,0.16,0.00,0.16,0.17,0.17,0.30,3.80,2.69,5.86,1.58,0.79,0.10,0.11,0.14,1.90,0.16,0.16,3.17,0.00,0.79,18.22,3.01
396,Jeremy Doku,epl,0.16,0.32,0.16,0.09,0.09,0.25,12.00,3.70,16.50,2.04,0.86,0.08,0.04,0.25,1.88,0.43,0.38,4.61,0.70,0.86,46.82,9.80
