,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
686,Oladapo Afolayan,bundesliga,0.18,0.06,0.18,0.18,0.18,0.22,3.08,1.81,5.98,2.05,0.72,0.09,0.09,0.20,1.21,0.00,0.54,2.96,0.36,0.72,19.86,3.32
687,Roland Sallai,bundesliga,0.32,0.00,0.32,0.34,0.21,0.15,2.75,3.07,6.46,2.59,0.81,0.13,0.08,0.11,1.13,0.16,0.32,3.07,0.16,0.81,21.01,2.42
688,Umut Tohumcu,bundesliga,0.12,0.12,0.12,0.05,0.05,0.09,0.99,3.58,1.60,1.36,0.49,0.09,0.03,0.06,1.23,0.25,0.25,2.10,0.25,0.49,9.38,0.37
689,Jordan Pefok,bundesliga,0.08,0.08,0.08,0.31,0.31,0.07,0.24,1.29,4.03,2.34,0.64,0.03,0.13,0.04,1.21,0.00,0.00,2.18,0.00,0.64,11.04,4.35
690,Ridle Baku,bundesliga,0.11,0.11,0.11,0.11,0.11,0.07,1.31,2.93,6.29,1.38,0.39,0.08,0.08,0.11,0.88,0.18,0.32,2.26,0.32,0.39,19.51,2.51
691,Jeong Woo yeong,bundesliga,0.33,0.20,0.33,0.21,0.21,0.15,2.53,4.32,6.85,1.93,0.60,0.17,0.11,0.15,1.33,0.13,0.33,3.46,0.33,0.60,21.49,2.59
692,Leroy Sane,bundesliga,0.45,0.16,0.45,0.45,0.45,0.21,3.89,3.57,14.75,3.57,1.38,0.13,0.13,0.25,1.66,0.20,0.24,4.01,0.49,1.38,40.12,6.56
693,Marius Bulter,bundesliga,0.25,0.10,0.25,0.17,0.17,0.19,2.88,2.33,7.80,1.79,0.70,0.14,0.10,0.24,1.24,0.25,0.70,2.93,0.35,0.70,19.77,4.22
694,Can Uzun,bundesliga,0.47,0.19,0.47,0.32,0.32,0.17,1.41,5.44,6.00,3.28,1.22,0.14,0.10,0.16,1.88,0.47,0.38,4.69,0.28,1.22,25.13,4.13
695,Elye Wahi,bundesliga,0.44,0.18,0.35,0.91,0.84,0.19,1.50,1.15,7.86,3.27,1.24,0.11,0.26,0.08,0.97,0.00,0.09,2.65,0.35,1.24,12.81,6.01
696,Oliver Burke,bundesliga,0.63,0.00,0.63,0.44,0.44,0.15,1.51,1.88,7.66,3.39,1.13,0.19,0.13,0.09,1.38,0.00,0.25,3.14,0.25,1.13,22.59,7.28
697,Tim Skarke,bundesliga,0.00,0.13,0.00,0.17,0.17,0.11,2.45,2.05,7.35,1.92,0.66,0.00,0.09,0.12,1.32,0.00,0.66,2.71,0.26,0.66,16.54,2.65
698,Julian Ryerson,bundesliga,0.03,0.08,0.03,0.02,0.02,0.16,2.30,3.48,4.88,0.58,0.22,0.05,0.04,0.18,1.34,0.05,0.74,2.30,0.22,0.22,18.05,1.10
699,Deniz Undav,bundesliga,0.42,0.17,0.42,0.53,0.53,0.17,1.78,4.03,7.43,4.16,1.70,0.10,0.13,0.14,1.27,0.17,0.13,3.31,0.42,1.70,19.43,6.11
700,Nathan Tella,bundesliga,0.16,0.11,0.16,0.20,0.20,0.07,2.78,1.93,9.10,1.93,0.59,0.08,0.11,0.10,1.07,0.11,0.16,2.57,0.32,0.59,20.87,4.60
701,Mohamed Amoura,bundesliga,0.41,0.33,0.33,0.34,0.28,0.15,3.01,2.24,9.15,2.64,0.98,0.12,0.11,0.14,1.30,0.37,0.16,2.93,0.49,0.98,22.62,4.80
702,Gift Orban,bundesliga,0.53,0.00,0.53,0.43,0.43,0.03,0.89,1.16,4.89,1.51,0.62,0.35,0.28,0.09,0.36,0.09,0.09,1.33,0.18,0.62,12.90,3.20
703,Tiago Tomas,bundesliga,0.29,0.05,0.29,0.26,0.26,0.12,1.50,2.23,5.96,2.03,1.02,0.14,0.13,0.07,0.97,0.24,0.10,2.62,0.39,1.02,16.37,3.78
704,Steve Mounie,bundesliga,0.14,0.00,0.14,0.53,0.53,0.13,1.82,2.38,6.73,4.07,1.40,0.03,0.14,0.08,0.98,0.00,0.28,2.24,0.42,1.40,18.64,6.45
705,Noah Weisshaupt,bundesliga,0.08,0.00,0.08,0.15,0.15,0.15,3.84,2.86,8.00,1.31,0.24,0.06,0.11,0.15,1.39,0.08,0.90,3.75,0.16,0.24,22.77,3.59
706,Ricky van Wolfswinkel,eredivisie,0.22,0.00,0.00,0.42,0.17,0.02,0.43,1.74,1.74,1.41,0.22,0.00,0.12,0.02,0.43,0.00,0.00,1.20,0.22,0.22,10.76,2.72
707,Troy Parrott,eredivisie,0.42,0.11,0.21,0.55,0.38,0.32,1.05,3.37,6.53,2.11,0.74,0.10,0.18,0.22,2.11,0.42,0.00,3.69,0.32,0.74,17.81,4.95
708,Bertrand Traore,eredivisie,0.41,0.21,0.41,0.28,0.28,0.11,2.69,4.24,9.72,3.31,1.34,0.13,0.08,0.12,0.83,0.21,0.00,2.79,0.62,1.34,24.00,4.45
709,Sayfallah Ltaief,eredivisie,0.19,0.00,0.19,0.09,0.09,0.23,5.25,3.94,10.69,1.69,0.75,0.11,0.06,0.17,0.94,0.19,0.56,2.63,0.00,0.75,27.00,3.94
710,Santiago Gimenez,eredivisie,0.71,0.18,0.62,0.63,0.49,0.09,1.50,1.06,4.32,2.47,1.15,0.25,0.20,0.06,0.88,0.18,0.09,2.03,0.35,1.15,12.08,4.32
711,Igor Paixao,eredivisie,0.20,0.39,0.20,0.10,0.10,0.24,2.16,1.76,5.29,2.16,0.69,0.09,0.05,0.14,1.96,0.20,0.10,3.24,0.78,0.69,15.49,2.65
712,Brian Brobbey,eredivisie,0.35,0.53,0.35,0.63,0.63,0.37,1.58,1.93,5.26,2.98,1.58,0.12,0.22,0.28,2.46,0.00,0.00,3.68,0.70,1.58,14.04,5.79
713,Johan Bakayoko,eredivisie,0.21,0.10,0.21,0.19,0.19,0.18,6.29,2.52,12.90,2.83,1.05,0.07,0.07,0.13,1.89,0.00,0.63,3.67,0.42,1.05,30.00,5.45
714,Noa Lang,eredivisie,0.26,0.26,0.13,0.29,0.18,0.15,6.47,5.94,9.24,2.64,0.92,0.05,0.07,0.20,1.98,0.26,0.13,5.15,0.53,0.92,33.39,5.15
715,Chuba Akpom,eredivisie,0.35,0.00,0.35,0.47,0.38,0.08,1.62,1.50,5.89,2.66,1.73,0.13,0.14,0.07,0.81,0.00,0.00,2.31,0.35,1.73,13.63,4.97
716,Malik Tillman,eredivisie,0.51,0.34,0.51,0.08,0.08,0.24,1.35,5.57,5.23,1.86,0.84,0.27,0.05,0.14,3.55,0.34,0.51,6.08,0.68,0.84,24.82,2.03
717,Mika Godts,eredivisie,0.46,0.31,0.46,0.34,0.34,0.11,3.37,2.14,7.19,1.84,1.07,0.25,0.18,0.12,1.07,0.46,0.00,2.14,0.46,1.07,19.44,3.37
718,Luuk de Jong,eredivisie,0.20,0.10,0.20,0.37,0.37,0.15,0.10,1.59,4.28,2.49,0.90,0.08,0.15,0.07,1.59,0.00,0.00,2.89,0.20,0.90,16.03,5.58
719,Anis Hadj Moussa,eredivisie,0.34,0.00,0.34,0.08,0.08,0.06,4.48,3.45,8.28,1.03,0.57,0.33,0.08,0.09,0.92,0.11,0.11,2.76,0.34,0.57,20.80,3.91
720,Ernest Poku,eredivisie,0.00,0.13,0.00,0.30,0.30,0.16,4.92,1.30,6.86,2.46,0.78,0.00,0.12,0.17,1.30,0.00,0.13,3.76,0.39,0.78,21.37,6.22
