,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
653,Liam Delap,22,35.0,88,80,42
654,Sammie Szmodics,29,12.0,39,33,12
655,Conor Chaplin,28,8.0,21,21,6
656,Jack Clarke,24,15.0,31,34,12
657,George Hirst,26,5.0,9,15,9
658,Michael Olise,23,80.0,80,74,25
659,Eberechi Eze,26,55.0,82,77,28
660,Jean Philippe Mateta,27,30.0,88,80,37
661,Ismaila Sarr,27,22.0,76,78,28
662,Malik Tillman,22,30.0,60,58,11
663,Johan Bakayoko,22,35.0,57,56,11
664,Noa Lang,25,25.0,63,58,20
665,Brian Brobbey,23,27.0,63,52,10
666,Bertrand Traore,29,9.0,57,57,16
667,Chuba Akpom,29,8.0,40,50,14
668,Mika Godts,19,10.0,63,55,11
669,Georges Mikautadze,24,20.0,40,48,26
670,Francisco Conceicao,22,36.0,32,40,14
671,Igor Paixao,24,25.0,100,94,38
672,Anis Hadj Moussa,23,12.0,59,63,13
673,Santiago Gimenez,24,37.0,55,58,17
674,Osame Sahraoui,23,12.0,33,45,13
675,Troy Parrott,23,9.0,90,81,33
676,Ernest Poku,21,3.0,43,45,8
677,Jens Odgaard,26,12.0,50,32,10
678,Sayfallah Ltaief,25,2.0,37,42,5
