,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
0,Abdallah Sima,ligue1,0.5,0.11,0.5,0.43,0.43,0.09,2.74,1.57,6.82,2.74,1.06,0.18,0.16,0.08,0.84,0.06,0.11,2.18,0.28,1.06,19.13,4.98,23,10,45,42,17
1,Abde Ezzalzouli,laliga,0.05,0.1,0.05,0.46,0.38,0.09,5.37,3.02,9.54,3.12,1.2,0.02,0.12,0.09,1.25,0.1,0.1,3.07,0.34,1.2,27.14,7.14,23,12,63,59,9
2,Abdon Prats,laliga,0.39,0,0.26,0.33,0.22,0.04,0.26,1.32,2.89,2.37,1.05,0.11,0.09,0.03,0.66,0.13,0,1.18,0.13,1.05,11.45,3.68,32,1.5,9,15,6
3,Abdou Harroui,seriea,0.14,0.42,0.14,0.45,0.45,0.14,5.22,4.66,6.35,3.39,0.99,0.04,0.14,0.17,0.99,0.28,0.28,3.67,0.71,0.99,20.45,3.67,27,2,15,16,10
4,Abdul Fatawu Issahaku,epl,0,0.31,0,0.06,0.06,0.25,6.53,2.64,9.33,2.02,0.78,0,0.03,0.22,0.93,0.31,0.31,2.64,0.47,0.78,24.4,4.04,21,13,18,19,7
5,Abel Ruiz,laliga,0.26,0,0.2,0.3,0.2,0.07,1.44,1.51,5.05,1.38,0.46,0.14,0.14,0.07,0.59,0.07,0.07,0.98,0.07,0.46,11.82,3.94,25,6,48,42,10
6,Adam Armstrong,epl,0.14,0.14,0.14,0.24,0.17,0.09,1.8,1.51,5.7,1.8,0.5,0.08,0.09,0.04,0.65,0,0.14,1.37,0.29,0.5,13.85,3.53,28,14,79,72,23
7,Adam Hlozek,bundesliga,0.36,0.2,0.36,0.32,0.32,0.16,2.36,3.16,4.64,3.24,1,0.11,0.1,0.16,0.96,0.04,0.08,2.6,0.36,1,17.67,5.16,22,18,60,57,21
8,Adama Traore,epl,0.16,0.32,0.16,0.21,0.21,0.23,4.9,3.23,8.39,2.04,0.7,0.08,0.1,0.22,1.88,0.27,0.75,3.71,0.48,0.7,23.13,4.95,29,10,48,51,15
9,Ademola Lookman,seriea,0.76,0.24,0.73,0.52,0.48,0.31,5.92,3.06,12.1,3.64,1.46,0.2,0.13,0.33,2.46,0.18,0.39,5.55,0.76,1.46,32.67,8.16,27,60,76,66,27
10,Ado Onaiwu,ligue1,0.23,0.11,0.23,0.39,0.39,0.1,1.48,3.19,7.63,2.39,1.37,0.1,0.16,0.1,0.91,0.11,0.34,2.96,0.11,1.37,19.25,3.19,29,1.8,23,29,7
11,Adri Embarba,laliga,0.05,0.15,0.05,0.12,0.12,0.18,2.85,2.66,6.14,2.42,0.77,0.02,0.05,0.15,1.55,0.1,0.53,3.14,0.29,0.77,23.78,2.66,32,1.5,45,48,6
12,Adria Altimira,laliga,0,0,0,0.01,0.01,0.01,1.23,2.67,3.54,0.36,0.14,0,0.05,0.04,0.36,0.14,0.07,0.87,0.07,0.14,10.11,0.29,24,1.5,47,44,0
13,Adrian Beck,bundesliga,0.14,0.07,0.14,0.17,0.17,0.07,1.8,4.09,4.79,2.15,0.56,0.06,0.08,0.12,1.11,0,0.28,3.26,0.21,0.56,17.76,2.91,27,2,47,48,9
14,Aimar Oroz,laliga,0.17,0.07,0.17,0.14,0.14,0.07,2.1,4.78,4.13,1.49,0.47,0.11,0.1,0.11,1.12,0.27,0.1,2.61,0.2,0.47,17.93,2.44,23,15,88,82,15
15,Aitor Ruibal,laliga,0.09,0.18,0.09,0.06,0.06,0.13,1.53,3.42,4.32,1.08,0.27,0.08,0.05,0.09,1.44,0,0.45,2.79,0.27,0.27,16.63,2.25,29,3.5,30,33,8
17,Akor Adams,laliga,0.25,0.06,0.25,0.34,0.34,0.07,0.81,0.81,3.6,2.05,0.87,0.12,0.17,0.02,0.81,0.06,0,1.67,0.37,0.87,10.23,3.78,25,7.5,8,12,0
18,Alassane Plea,bundesliga,0.46,0.18,0.41,0.34,0.31,0.15,2.43,5.23,6.7,1.97,0.64,0.21,0.16,0.15,1.19,0.73,0.37,3.17,0.55,0.64,19.93,3.49,32,6,73,64,33
20,Albert Gronbaek,epl,0.19,0.09,0.19,0.15,0.15,0.1,2.26,2.92,5.74,2.26,0.85,0.08,0.07,0.08,1.88,0.09,0,2.92,0.47,0.85,20.05,4.05,23,12,18,14,0
21,Albert Gudmundsson,seriea,0.48,0.07,0.34,0.33,0.23,0.13,2.53,2.8,4.03,1.71,0.75,0.2,0.13,0.08,1.16,0.14,0.07,2.53,0.27,0.75,16.06,2.19,27,23,45,39,14
22,Alberto Moleiro,laliga,0.23,0.03,0.23,0.21,0.21,0.12,3.28,4.29,6.56,2.34,0.94,0.1,0.09,0.13,1.27,0.39,0.1,3.61,0.23,0.94,20.56,3.35,21,25,85,80,18
23,Alejandro Garnacho,epl,0.16,0.16,0.16,0.34,0.34,0.18,6.32,2.12,12.01,3.76,1.28,0.04,0.09,0.11,1.55,0.05,0.14,3.79,0.33,1.28,28.38,7.87,20,45,64,66,16
24,Alejandro Jimenez,seriea,0,0,0,0.06,0.06,0.1,4.55,3.34,5.94,0.93,0.37,0,0.06,0.12,0.93,0.19,0.37,2.79,0.19,0.37,20.06,2.41,,,,,
25,Alejo Veliz,laliga,0.09,0,0.09,0.18,0.18,0.05,0.09,0.63,2.34,1.44,0.54,0.06,0.13,0.01,0.18,0,0,0.9,0.18,0.54,6.83,2.16,21,2.8,31,34,3
26,Aleksandr Golovin,ligue1,0.16,0.05,0.16,0.15,0.15,0.19,2.76,7.14,5.47,1.67,0.57,0.09,0.09,0.28,1.93,0.52,0.21,4.01,0.16,0.57,23.71,2.14,28,25,43,43,5
27,Alessandro Zanoli,seriea,0.05,0,0.05,0.03,0.03,0.09,3.27,1.54,4.63,0.61,0.14,0.08,0.04,0.06,1.17,0.05,0.56,1.96,0.05,0.14,13.84,2.29,24,6,58,55,7
28,Alessio Zerbin,seriea,0.07,0,0.07,0.12,0.12,0.08,2.67,3.65,4.36,0.98,0.33,0.07,0.12,0.1,1.37,0.07,0.59,2.8,0,0.33,22.27,3.39,26,4,36,36,5
29,Alex Berenguer,laliga,0.19,0.32,0.19,0.27,0.22,0.21,2.77,2.93,8.4,2.16,0.7,0.09,0.1,0.2,1.91,0.19,0.51,4.01,0.73,0.7,28.67,3.66,29,12,73,67,26
30,Alex Iwobi,epl,0.27,0.15,0.27,0.14,0.14,0.2,4.33,6.01,7,1.92,0.87,0.14,0.07,0.2,1.8,0.39,0.51,3.88,0.48,0.87,25.18,3.34,28,25,94,89,29
31,Alex Sola,laliga,0,0.15,0,0.08,0.08,0.08,2.03,2.26,5.27,1.36,0.3,0,0.06,0.08,0.9,0,0.08,2.56,0.23,0.3,19.81,2.94,25,3,39,35,3
32,Alexander Bernhardsson,bundesliga,0.38,0.09,0.38,0.16,0.16,0.07,1.42,2.46,5.86,1.7,0.66,0.22,0.1,0.09,1.23,0.09,0.28,2.17,0.19,0.66,14.94,2.84,26,1.5,37,35,12
33,Alexander Isak,epl,0.77,0.22,0.68,0.68,0.58,0.18,2.91,2.76,6.97,3.04,1.39,0.22,0.19,0.13,1.43,0.16,0.03,3.16,0.59,1.39,19.37,6.23,25,100,91,82,44
34,Alexander Sorloth,laliga,0.91,0.14,0.86,0.67,0.64,0.12,1.76,1.95,5.43,3.8,1.67,0.23,0.17,0.07,0.91,0.09,0.09,1.99,0.32,1.67,16.33,6.15,29,25,34,43,26
35,Alexandre Lacazette,ligue1,0.68,0.17,0.48,0.68,0.49,0.17,0.99,2.82,7.04,2.55,1.36,0.19,0.2,0.2,1.22,0.17,0.17,3.19,0.44,1.36,18.93,6.42,33,8,70,67,24
36,Alexis Claude Maurice,bundesliga,0.43,0.1,0.43,0.19,0.19,0.05,2.54,2.35,4.4,2.3,0.91,0.19,0.08,0.08,0.77,0.14,0.19,2.78,0.29,0.91,17.81,2.78,26,12,72,70,39
37,Alexis Saelemaekers,seriea,0.37,0.19,0.37,0.13,0.13,0.19,2.83,4.18,9.01,1.35,0.65,0.28,0.1,0.16,1.95,0.19,0.37,4.14,0.56,0.65,28.44,2.6,25,17,48,44,20
38,Alexis Sanchez,seriea,0,0.17,0,0.19,0.19,0.1,0.87,5.4,6.79,1.74,0.35,0,0.11,0.16,1.22,0.52,0.17,4.18,0.17,0.35,28.03,3.13,36,2,15,12,0
39,Alfon,laliga,0.34,0.17,0.34,0.32,0.32,0.2,6.3,1.62,11.49,3.49,1.28,0.1,0.09,0.16,1.7,0,0.09,4.34,0.43,1.28,25.8,8,25,2,33,39,12
40,Alieu Fadera,seriea,0.06,0.17,0.06,0.09,0.09,0.22,4.11,1.97,8.89,1.52,0.51,0.04,0.06,0.11,1.24,0.17,0.28,2.81,0.39,0.51,21.49,3.26,23,5,61,54,12
41,Alvaro Garcia,laliga,0.11,0.18,0.11,0.28,0.28,0.17,2.52,2.49,8.84,2.42,0.82,0.04,0.12,0.16,1.74,0.07,0.6,3.55,0.21,0.82,22.13,4.37,32,2.5,72,73,23
42,Alvaro Morata,seriea,0.37,0.11,0.37,0.32,0.32,0.11,1.33,1.7,4.45,2.07,0.74,0.18,0.16,0.06,0.8,0.16,0,1.91,0.32,0.74,12.51,4.88,32,13,25,23,9
43,Alvaro Rodriguez,laliga,0.27,0,0.27,0.11,0.11,0.03,0.54,1.21,5.66,2.56,1.08,0.11,0.04,0.04,0.4,0.13,0.13,1.21,0,1.08,21.29,5.25,20,2.5,16,25,7
44,Alvaro djalo,laliga,0.12,0,0.12,0.11,0.11,0.11,2.62,1.07,8.58,1.91,0.36,0.06,0.06,0.08,0.6,0,0.6,1.55,0.12,0.36,17.52,2.86,25,8,18,19,2
45,Amad Diallo,epl,0.34,0.27,0.34,0.22,0.22,0.24,5.11,2.86,8.99,2.4,0.84,0.14,0.09,0.19,2.17,0.15,0.23,4.57,0.69,0.84,28.31,5.83,22,40,52,54,34
46,Amin Sarr,seriea,0.24,0.06,0.24,0.14,0.14,0.12,1.53,1.88,4.89,1.18,0.35,0.2,0.12,0.05,1.12,0.06,0.06,2.18,0.12,0.35,15.54,3,24,4,65,55,19
47,Amine Adli,bundesliga,0.29,0.07,0.29,0.32,0.32,0.15,3.4,3.48,10.86,2.61,1.16,0.11,0.12,0.22,1.38,0.07,0.36,3.62,0.22,1.16,31.13,5.86,24,22,17,22,5
48,Amine Gouiri,ligue1,0.36,0.23,0.36,0.46,0.46,0.17,1.91,3.18,7.31,3.91,1.59,0.09,0.12,0.15,1.54,0.18,0,4.04,0.41,1.59,24.07,6.4,25,20,63,65,25
49,Anass Zaroury,ligue1,0,0.15,0,0.11,0.11,0.21,3.11,4.18,7.06,2.05,0.68,0,0.05,0.21,2.28,0.15,0.91,4.63,0.23,0.68,26.81,1.59,24,8,48,46,9
51,Anastasios Douvikas,laliga,0.5,0.07,0.5,0.5,0.5,0.06,1.07,1,5.97,2.2,1.14,0.23,0.23,0.04,0.57,0.07,0,1.71,0.14,1.14,14.29,4.41,25,8,30,41,13
52,Ander Barrenetxea,laliga,0.2,0.2,0.2,0.17,0.17,0.18,3.07,3.22,9.8,1.83,0.64,0.11,0.09,0.2,1.39,0.1,0.2,3.02,0.5,0.64,25.4,4.8,23,18,36,36,13
53,Andre Ayew,ligue1,0.34,0.06,0.34,0.3,0.3,0.03,0.4,1.31,2.8,1.6,0.63,0.21,0.2,0.02,0.51,0,0,1.37,0.11,0.63,9.08,2.74,35,0.7,54,57,19
54,Andre Silva,bundesliga,0.36,0.24,0.12,0.61,0.32,0.12,1.68,1.93,6.5,2.77,0.96,0.04,0.12,0.1,1.08,0.36,0.12,2.89,0.36,0.96,18.41,5.53,29,5,13,19,8
55,Andrea Belotti,seriea,0.42,0,0.42,0.37,0.37,0.09,1.04,1.35,5.09,2.6,0.62,0.16,0.15,0.04,1.14,0.21,0.1,2.49,0.1,0.62,12.06,3.95,31,2,40,41,11
56,Andrea Cambiaso,seriea,0.07,0.07,0.07,0.03,0.03,0.11,3.49,4.87,4.87,0.66,0.2,0.1,0.04,0.08,1.55,0.1,0.33,3.16,0.23,0.2,20.43,1.58,25,40,64,66,8
57,Andrea Colpani,seriea,0.1,0.05,0.1,0.16,0.16,0.1,2.31,3.65,7.96,2.31,0.67,0.04,0.07,0.1,1.28,0.1,0.1,3.13,0.26,0.67,19.06,2.83,25,12,55,48,8
58,Andrea Pinamonti,seriea,0.28,0.03,0.25,0.26,0.21,0.05,0.56,1.41,4.42,2.51,0.75,0.1,0.08,0.04,0.44,0.13,0.06,1.47,0.16,0.75,11.63,4.01,25,16,91,87,31
59,Andreas Skov Olsen,bundesliga,0.12,0.12,0.12,0.21,0.21,0.23,4.39,3.9,7.68,1.95,0.61,0.06,0.11,0.21,2.32,0.12,0.37,5,0.12,0.61,22.8,3.05,25,16,23,32,13
