,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
550,Oladapo Afolayan,bundesliga,0.18,0.06,0.18,0.18,0.18,0.22,3.08,1.81,5.98,2.05,0.72,0.09,0.09,0.2,1.21,0,0.54,2.96,0.36,0.72,19.86,3.32,27,4,50,55,19
551,Oliver Burke,bundesliga,0.63,0,0.63,0.44,0.44,0.15,1.51,1.88,7.66,3.39,1.13,0.19,0.13,0.09,1.38,0,0.25,3.14,0.25,1.13,22.59,7.28,28,1.8,23,26,10
552,Oliver McBurnie,laliga,0.13,0.38,0.13,0.25,0.25,0.17,0.38,1.59,4.14,1.59,0.51,0.08,0.15,0.06,1.4,0,0.06,2.42,0.38,0.51,12.43,4.91,,,,,
553,Ollie Watkins,epl,0.44,0.33,0.38,0.52,0.46,0.16,1.87,1.01,5.71,2.74,1.12,0.14,0.17,0.06,1.04,0,0,2.25,0.47,1.12,13.91,5.71,29,50,50,50,22
557,Omar Marmoush,bundesliga,0.75,0.32,0.6,0.57,0.46,0.25,3.56,2.78,7.57,4.13,1.72,0.15,0.11,0.2,1.89,0.32,0.2,4.88,0.83,1.72,26.42,6.05,26,75,92,85,36
558,Omar Traore,bundesliga,0,0.07,0,0.01,0.01,0.06,3.66,4.08,3.91,0.46,0.11,0,0.03,0.11,0.75,0,0.5,1.88,0.14,0.11,15.7,0.75,27,4,87,84,3
559,Omari Hutchinson,epl,0.12,0.08,0.12,0.09,0.09,0.1,2.87,2.79,5.3,1.46,0.65,0.08,0.06,0.06,0.93,0.16,0.36,2.59,0.24,0.65,18.74,3,21,22,79,75,15
560,Orri Steinn Oskarsson,laliga,0.48,0,0.48,0.57,0.57,0.05,0.48,0.82,4.97,2.18,0.89,0.22,0.26,0.04,0.55,0,0.07,1.09,0,0.89,14.65,4.29,,,,,
561,Osame Sahraoui,ligue1,0.27,0.22,0.27,0.2,0.2,0.22,4.98,6.38,10.66,1.57,0.6,0.17,0.13,0.31,1.84,0.43,0.22,4.6,0.49,0.6,31.15,5.14,23,12,33,45,13
562,Oscar Rodriguez Arnaiz,laliga,0.06,0.3,0.06,0.13,0.13,0.17,1.8,4.49,4.37,2.33,0.48,0.03,0.06,0.12,1.5,0.18,0.42,3.89,0.6,0.48,17.95,1.62,,,,,
563,Oumar Diakite,ligue1,0.19,0.05,0.19,0.29,0.25,0.06,1.53,2.34,5.3,1.43,0.43,0.13,0.18,0.07,0.62,0.1,0.1,2.1,0.24,0.43,13.42,3.25,21,7,67,60,16
564,Ousmane Dembele,ligue1,0.95,0.25,0.92,0.75,0.73,0.34,7.52,6.82,12.35,4.8,2.12,0.19,0.15,0.3,3.06,0.63,0.13,5.94,0.57,2.12,42.54,8.53,27,75,60,59,34
565,Pablo Duran,laliga,0.31,0.31,0.31,0.23,0.23,0.21,1.48,2.11,8.42,1.48,0.55,0.21,0.16,0.07,1.09,0.08,0.23,1.87,0.23,0.55,17.7,4.06,23,3.5,39,39,16
566,Pablo Fornals,laliga,0.15,0,0.15,0.12,0.12,0.16,1.57,6.95,4.26,1.27,0.29,0.12,0.1,0.14,1.86,0.34,0.39,4.16,0.49,0.29,20.31,2.15,29,6,56,52,2
567,Pablo Sarabia,epl,0.34,0.23,0.34,0.33,0.33,0.19,1.58,5.97,6.87,2.03,1.13,0.17,0.16,0.21,1.58,0.56,0.23,3.15,0.34,1.13,23.65,2.7,32,7,18,23,10
568,Pasquale Mazzocchi,seriea,0,0,0,0.03,0.03,0.06,2.37,3.27,5.08,0.45,0.11,0,0.07,0.09,0.79,0.11,0.56,2.48,0,0.11,15.92,1.13,29,3,21,23,0
569,Patrick Cutrone,seriea,0.3,0.15,0.3,0.3,0.26,0.1,2.22,1.28,6.61,2.86,1.09,0.1,0.09,0.09,0.89,0,0.1,2.22,0.25,1.09,16.92,5.08,27,7,64,62,23
570,Patrick Dorgu,seriea,0.09,0.03,0.09,0.13,0.13,0.07,3.02,2.66,6.09,1.69,0.38,0.05,0.08,0.08,0.89,0.09,0.38,2.57,0.3,0.38,17.68,2.87,20,25,60,55,0
571,Patrick Wimmer,bundesliga,0.21,0.21,0.21,0.23,0.23,0.14,1.98,4.13,4.61,2.09,0.54,0.1,0.11,0.17,1.07,0.32,0.21,3.43,0.7,0.54,19.14,3.65,23,15,60,56,13
572,Patrik Schick,bundesliga,0.91,0,0.91,0.64,0.64,0.03,0.52,1.17,5.64,3.86,1.56,0.24,0.17,0.05,0.69,0,0,1.95,0.09,1.56,16.02,5.95,29,27,53,52,30
573,Patson Daka,epl,0.14,0,0.14,0.18,0.18,0.01,1.25,1.11,4.6,2.09,0.56,0.07,0.08,0.01,0.14,0.28,0,1.39,0.14,0.56,12.82,3.76,,,,,
574,Paul Onuachu,epl,0.37,0.09,0.37,0.3,0.3,0.05,0.64,1.1,3.57,2.93,1.28,0.13,0.1,0.03,0.73,0,0,0.82,0.09,1.28,13.9,5.49,30,8,33,33,21
575,Paul Wanner,bundesliga,0.17,0.06,0.11,0.2,0.15,0.06,1.41,3.34,3.22,1.3,0.28,0.09,0.12,0.1,0.96,0.23,0.17,2.6,0.34,0.28,17.31,2.26,19,18,60,59,13
576,Paulo Dybala,seriea,0.33,0.18,0.18,0.39,0.28,0.31,2.64,4.99,7.55,3.07,0.87,0.06,0.09,0.32,2.53,0.29,0.18,5.13,0.51,0.87,27.93,4.55,31,8,48,48,19
